,kid_id,mum_id,dad_id,value_numeric,sex,dad_value_numeric,dad_first_place,dad_second_place,dad_third_place,dad_num_of_starts,mum_value_numeric,mum_first_place,mum_second_place,mum_third_place,mum_num_of_starts
52,37,D6,S26,445000.0,F,280032.0,6.0,1.0,1.0,8.0,,0.0,0.0,0.0,1.0
53,84,D28,S26,1340107.0,S,280032.0,6.0,1.0,1.0,8.0,44895.0,4.0,2.0,2.0,12.0
54,35,D6,S25,44065.0,M,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
55,83,D27,S25,570750.0,S,0.0,0.0,0.0,0.0,0.0,11384.0,2.0,0.0,1.0,7.0
56,36,D6,S27,188040.0,S,779577.0,19.0,9.0,2.0,37.0,,0.0,0.0,0.0,1.0
57,38,D6,S27,52445.0,F,779577.0,19.0,9.0,2.0,37.0,,0.0,0.0,0.0,1.0
58,44,D6,S27,30184.0,S,779577.0,19.0,9.0,2.0,37.0,,0.0,0.0,0.0,1.0
59,85,D29,S27,347893.0,F,779577.0,19.0,9.0,2.0,37.0,2340.0,0.0,0.0,0.0,0.0
60,40,D6,S28,6053.0,S,217500.0,12.0,1.0,0.0,14.0,,0.0,0.0,0.0,1.0
61,45,D7,S30,201404.0,S,135665.0,3.0,0.0,0.0,16.0,7843.0,2.0,2.0,3.0,19.0
62,46,D7,S31,21070.0,F,328434.0,9.0,2.0,2.0,18.0,7843.0,2.0,2.0,3.0,19.0
63,47,D7,S31,765.0,F,328434.0,9.0,2.0,2.0,18.0,7843.0,2.0,2.0,3.0,19.0
64,49,D7,S32,9380.0,F,,0.0,0.0,0.0,0.0,7843.0,2.0,2.0,3.0,19.0
65,50,D7,S33,1700.0,F,839997.0,12.0,6.0,2.0,25.0,7843.0,2.0,2.0,3.0,19.0
66,51,D8,S34,20191.0,F,89940.0,22.0,12.0,9.0,100.0,3545.0,2.0,2.0,1.0,17.0
67,52,D8,S39,1216705.0,S,164935.0,6.0,5.0,2.0,18.0,3545.0,2.0,2.0,1.0,17.0
68,53,D9,S35,256468.0,S,152384.0,21.0,5.0,3.0,47.0,18120.0,3.0,1.0,6.0,22.0
69,55,D9,S36,13000.0,S,516465.0,14.0,2.0,1.0,19.0,18120.0,3.0,1.0,6.0,22.0
70,56,D9,S37,313428.0,F,247223.0,9.0,3.0,1.0,13.0,18120.0,3.0,1.0,6.0,22.0
71,57,D9,S38,230513.0,S,1452014.0,25.0,4.0,1.0,31.0,18120.0,3.0,1.0,6.0,22.0
72,59,D10,S43,641612.0,F,270339.0,15.0,5.0,2.0,28.0,6925.0,1.0,0.0,0.0,4.0
73,62,D11,S43,641612.0,F,270339.0,15.0,5.0,2.0,28.0,55610.0,7.0,6.0,5.0,31.0
74,63,D11,S43,10780.0,F,270339.0,15.0,5.0,2.0,28.0,55610.0,7.0,6.0,5.0,31.0
75,65,D11,S43,33375.0,S,270339.0,15.0,5.0,2.0,28.0,55610.0,7.0,6.0,5.0,31.0
76,66,D11,S43,150212.0,F,270339.0,15.0,5.0,2.0,28.0,55610.0,7.0,6.0,5.0,31.0
77,67,D11,S43,72154.0,M,270339.0,15.0,5.0,2.0,28.0,55610.0,7.0,6.0,5.0,31.0
78,60,D11,S42,8375.0,F,0.0,0.0,0.0,0.0,0.0,55610.0,7.0,6.0,5.0,31.0
